epoch,loss_train,u_err,v_err,p_err
20,2.745452642440796,0.92891526222229,0.5335738658905029,0.7653012871742249
40,2.455775499343872,0.9116242527961731,0.457060843706131,0.7614835500717163
60,2.251638412475586,0.8958490490913391,0.3926238417625427,0.7764581441879272
80,2.0966956615448,0.876395046710968,0.3413741886615753,0.7991350889205933
100,1.918068289756775,0.8478595018386841,0.2953696846961975,0.8150009512901306
120,1.692610263824463,0.8104586601257324,0.24797458946704865,0.8290031552314758
140,1.4422826766967773,0.7818833589553833,0.21342366933822632,0.8463475704193115
160,1.1945877075195312,0.7831406593322754,0.20648910105228424,0.8643814921379089
180,1.0216917991638184,0.8043643832206726,0.21832603216171265,0.8768231272697449
200,0.9378209710121155,0.8080771565437317,0.22460411489009857,0.8784215450286865
220,0.8832294344902039,0.7948057055473328,0.21914872527122498,0.8736305236816406
240,0.8350839018821716,0.7798744440078735,0.21640413999557495,0.8682831525802612
260,0.7895944118499756,0.7648957371711731,0.21573814749717712,0.8628410696983337
280,0.7485832571983337,0.7466681599617004,0.21543297171592712,0.8565833568572998
300,0.7116654515266418,0.7248099446296692,0.21550528705120087,0.8493893146514893
320,0.6784112453460693,0.6990141868591309,0.21578671038150787,0.841438889503479
340,0.6489036083221436,0.6682446599006653,0.21586839854717255,0.833003044128418
360,0.6228710412979126,0.6316425800323486,0.21548283100128174,0.8245291709899902
380,0.5999515056610107,0.5885375738143921,0.2145104557275772,0.8166027069091797
400,0.5798747539520264,0.5390912294387817,0.21300113201141357,0.8097655177116394
420,0.5625988245010376,0.48552238941192627,0.21113738417625427,0.8043463826179504
440,0.5484519004821777,0.43467283248901367,0.20914706587791443,0.8002766966819763
460,0.5383787155151367,0.4013461470603943,0.2071911245584488,0.7969381809234619
480,0.5339195132255554,0.40376389026641846,0.2053055614233017,0.7930915355682373
500,0.5354298949241638,0.44007408618927,0.2034374475479126,0.7869521379470825
520,0.5382280349731445,0.47903046011924744,0.20153774321079254,0.7768459320068359
540,0.5357514023780823,0.4972277879714966,0.19959206879138947,0.7627920508384705
560,0.5285020470619202,0.5012463331222534,0.19756343960762024,0.7467493414878845
580,0.5196356773376465,0.5032723546028137,0.1954164206981659,0.7299875020980835
600,0.5100690722465515,0.5065693855285645,0.19313393533229828,0.7122466564178467
620,0.49954885244369507,0.5106272101402283,0.19068187475204468,0.6929716467857361
640,0.48778560757637024,0.5151810050010681,0.18801189959049225,0.6717209815979004
660,0.4745863974094391,0.5203970074653625,0.18506743013858795,0.6480055451393127
680,0.45976531505584717,0.5264407992362976,0.18178340792655945,0.6213017106056213
700,0.4431619346141815,0.5333508849143982,0.17809456586837769,0.5912163257598877
720,0.4247927665710449,0.540945827960968,0.1739635169506073,0.5578022599220276
740,0.4051823019981384,0.5486747622489929,0.16943790018558502,0.5222368836402893
760,0.3857291638851166,0.5556368231773376,0.1647333949804306,0.48751357197761536
780,0.36821091175079346,0.5613986849784851,0.16026419401168823,0.45753973722457886
800,0.35312631726264954,0.567454993724823,0.15643998980522156,0.4342580735683441
820,0.3396792709827423,0.575956404209137,0.15332339704036713,0.4176775813102722
840,0.3272940218448639,0.5867719054222107,0.15070801973342896,0.4087350368499756
860,0.316033273935318,0.5984740257263184,0.14851340651512146,0.408832848072052
880,0.30635449290275574,0.6095970273017883,0.14682233333587646,0.4170992374420166
900,0.29867470264434814,0.6188869476318359,0.14567138254642487,0.42970800399780273
920,0.29301950335502625,0.6256056427955627,0.14494134485721588,0.442137748003006
940,0.2891358435153961,0.6295566558837891,0.1446351408958435,0.4515704810619354
960,0.28659844398498535,0.6313167810440063,0.14454221725463867,0.4573851227760315
980,0.2848745882511139,0.63155198097229,0.14456608891487122,0.4602477252483368
1000,0.28366467356681824,0.630875289440155,0.14466840028762817,0.461145281791687
